amount,number_denominations,time
1,0,3.8176e-05
2,0,3.7603e-05
3,0,3.8215e-05
4,0,3.8773e-05
5,0,4.1336e-05
6,0,4.2899e-05
7,0,4.4153e-05
8,3,0.000269118
9,2,0.000102905
10,1,0.00038115
11,2,0.000195424
12,7,0.00101653
13,7,0.00174733
14,6,0.000682484
15,11,0.00148264
16,7,0.00276412
17,9,0.0014517
18,11,0.00325091
19,11,0.00286561
20,11,0.00795004
21,15,0.00262229
22,11,0.0094891
23,17,0.0041802
24,16,0.0070776
25,14,0.00663311
26,19,0.00553694
27,22,0.00521988
28,16,0.0176449
29,21,0.00848969
30,20,0.0230499
31,23,0.00769232
32,25,0.00961841
33,24,0.0111514
34,23,0.0130639
35,22,0.0354032
36,25,0.0224455
37,0,0.00966943
