amount,path length,time,found
1,0,8.7546e-05,0
2,1,0.000180635,0
3,0,8.8643e-05,0
4,0,8.9779e-05,0
5,1,0.000326819,0
6,0,9.5684e-05,0
7,0,9.7001e-05,0
8,8,0.00132629,0
9,17,0.00198162,0
10,8,0.00194504,0
11,9,0.00236243,0
12,6,0.00278941,0
13,9,0.00338771,0
14,16,0.00449822,0
15,9,0.00444476,0
16,11,0.00549958,0
17,10,0.00680899,0
18,29,0.00917923,0
19,30,0.00908114,0
20,19,0.010037,0
21,9,0.0111601,0
22,29,0.0128546,0
23,27,0.0170417,0
24,12,0.0175451,0
25,45,0.0212161,0
26,16,0.0195111,0
27,34,0.0194284,0
28,38,0.0238981,0
29,20,0.0263172,0
30,43,0.0252291,0
31,22,0.0283234,0
32,22,0.0319084,0
33,24,0.030172,0
34,22,0.0382437,0
35,80,0.0450741,0
36,55,0.0423465,0
amount,path length,time,found
1,0,0.000129343,0
2,0,0.000136341,0
3,0,9.0825e-05,0
4,0,9.0378e-05,0
5,2,0.000387698,0
6,5,0.000692215,0
7,5,0.000889348,0
8,5,0.00111406,0
9,5,0.00138579,0
10,0,0.00012285,0
11,1,0.00131697,0
12,15,0.00412685,0
13,7,0.00385718,0
14,15,0.00452577,0
15,9,0.00518173,0
16,19,0.00741561,0
17,33,0.00767997,0
18,23,0.00785537,0
19,25,0.00856554,0
20,26,0.010068,0
21,38,0.0129712,0
22,20,0.0125248,0
23,31,0.015847,0
24,17,0.0156497,0
25,33,0.0188546,0
26,18,0.0182676,0
27,17,0.0203659,0
28,56,0.0272434,0
29,56,0.0323594,0
30,20,0.0268063,0
31,20,0.0290768,0
32,41,0.0371909,0
33,47,0.0357529,0
34,56,0.0359734,0
35,25,0.0401423,0
36,53,0.0447643,0
amount,path length,time,found
1,0,0.000325304,0
2,0,6.6161e-05,0
3,0,7.6463e-05,0
4,0,8.5121e-05,0
5,0,9.1282e-05,0
6,3,0.000565065,0
7,2,0.000497706,0
8,8,0.00136214,0
9,7,0.00157205,0
10,8,0.00201293,0
11,5,0.00249782,0
12,5,0.00328976,0
13,8,0.00302181,0
14,19,0.0044068,0
15,23,0.00671355,0
16,17,0.00638958,0
17,13,0.00705275,0
18,17,0.00885554,0
19,29,0.0125992,0
20,35,0.0129776,0
21,10,0.0112012,0
22,27,0.0156428,0
23,25,0.0183291,0
24,16,0.0170973,0
25,38,0.020038,0
26,33,0.0226811,0
27,44,0.0209559,0
28,18,0.0246874,0
29,17,0.0266077,0
30,20,0.0268489,0
31,22,0.0264081,0
32,37,0.0366672,0
33,51,0.0313657,0
34,33,0.0377441,0
35,31,0.0411824,0
36,25,0.0431479,0
amount,path length,time,found
1,0,7.5291e-05,0
2,2,0.000183832,0
3,3,0.000276204,0
4,0,7.8416e-05,0
5,1,0.00027377,0
6,9,0.000880574,0
7,6,0.000915425,0
8,2,0.000560428,0
9,0,9.3878e-05,0
10,3,0.00150335,0
11,17,0.00230108,0
12,22,0.00358532,0
13,6,0.00357664,0
14,4,0.00340549,0
15,10,0.00435796,0
16,23,0.00631165,0
17,8,0.00681868,0
18,32,0.00887257,0
19,20,0.0100699,0
20,23,0.0134564,0
21,20,0.00924611,0
22,31,0.0133986,0
23,27,0.0137576,0
24,27,0.0189371,0
25,15,0.0186113,0
26,23,0.0202411,0
27,17,0.0200048,0
28,20,0.019091,0
29,48,0.0298303,0
30,45,0.0281862,0
31,21,0.0285347,0
32,43,0.0378695,0
33,24,0.0357422,0
34,54,0.0348062,0
35,51,0.0437279,0
36,24,0.0473739,0
amount,path length,time,found
1,0,0.000182249,0
2,0,6.1941e-05,0
3,0,7.6215e-05,0
4,1,0.000282213,0
5,0,7.788e-05,0
6,1,0.000339432,0
7,3,0.000683243,0
8,8,0.00131785,0
9,3,0.00101054,0
10,8,0.00206521,0
11,9,0.00312175,0
12,14,0.00351493,0
13,4,0.0030892,0
14,15,0.00443518,0
15,6,0.00605093,0
16,18,0.00677207,0
17,22,0.00675205,0
18,32,0.00944418,0
19,24,0.00827838,0
20,38,0.011891,0
21,38,0.0133366,0
22,13,0.0119086,0
23,25,0.0172407,0
24,26,0.0188611,0
25,27,0.0176224,0
