amount,path length,time,found,end state
1,0,7.875e-06,0,3
2,0,7.734e-06,0,3
3,0,8.383e-06,0,3
4,0,8.325e-06,0,3
5,0,9.33e-06,0,3
6,0,2.8385e-05,0,3
7,0,0.0003212,0,3
8,0,0.000185308,0,3
9,0,0.00491591,0,3
10,0,0.0233166,0,3
11,0,0.00143337,0,3
12,0,2.49646,0,3
13,0,0.545186,0,3
14,0,0.196522,0,3
15,0,41.3081,0,3
amount,path length,time,found,end state
1,0,7.959e-06,0,3
2,0,2.0509e-05,0,3
3,0,1.2519e-05,0,3
4,0,1.2664e-05,0,3
5,0,1.01e-05,0,3
6,0,0.000243275,0,3
7,0,4.475e-05,0,3
8,0,0.000108613,0,3
9,0,0.000722051,0,3
10,0,0.000730483,0,3
11,0,3.2157e-05,0,3
12,0,0.0162815,0,3
13,0,1.15088,0,3
14,0,6.05186,0,3
15,0,3.29944,0,3
amount,path length,time,found,end state
1,0,7.819e-06,0,3
2,0,1.6915e-05,0,3
3,0,8.162e-06,0,3
4,0,8.66e-06,0,3
5,0,9.288e-06,0,3
6,0,2.7896e-05,0,3
7,0,7.6542e-05,0,3
8,0,0.00152733,0,3
9,0,0.00664329,0,3
10,0,0.000376044,0,3
11,0,0.0522799,0,3
12,0,0.0137099,0,3
13,0,0.27307,0,3
14,0,0.0681362,0,3
amount,path length,time,found,end state
1,0,7.902e-06,0,3
2,0,7.642e-06,0,3
3,0,8.27e-06,0,3
4,0,8.324e-06,0,3
5,0,6.715e-05,0,3
6,0,4.5409e-05,0,3
7,0,1.9492e-05,0,3
8,0,0.000223362,0,3
9,0,0.00031693,0,3
10,0,0.0249256,0,3
11,0,0.000131526,0,3
12,0,0.00613507,0,3
13,0,1.3081,0,3
14,0,0.00337623,0,3
15,0,83.1621,1,3
16,0,18.762,0,3
17,0,2442.48,0,3
amount,path length,time,found,end state
1,0,1.0078e-05,0,3
2,0,1.3032e-05,0,3
3,0,2.2173e-05,0,3
4,0,1.0124e-05,0,3
5,0,9.281e-06,0,3
6,0,9.571e-06,0,3
7,0,0.000197288,0,3
8,0,0.000474096,0,3
9,0,6.3614e-05,0,3
10,0,0.000104446,0,3
11,0,0.000835616,0,3
12,0,0.00252409,0,3
13,0,0.544951,0,3
