amount,path length,time,found
1,0,4.5946e-05,0
2,0,4.6262e-05,0
3,0,4.3357e-05,0
4,0,0.000226942,0
5,1,0.000366688,0
6,1,0.000488952,0
7,1,0.000507746,0
8,2,0.00113508,0
9,2,0.00124907,0
10,2,0.00118393,0
11,2,0.00135979,0
12,4,0.0021931,0
13,3,0.00236473,0
14,8,0.00348341,0
15,8,0.0040906,0
16,8,0.00464326,0
17,9,0.00679422,0
18,11,0.00716332,0
19,10,0.00814859,0
20,11,0.00878204,0
21,13,0.00981445,0
22,13,0.010875,0
23,11,0.0132549,0
24,17,0.0141226,0
25,13,0.0148337,0
26,12,0.0176921,0
27,19,0.0173383,0
28,20,0.0187922,0
29,18,0.0219593,0
30,19,0.0253217,0
31,22,0.0257982,0
32,25,0.0234456,0
33,23,0.0335915,0
34,24,0.0339046,0
35,24,0.0350532,0
36,28,0.0337839,0
37,0,0.00573376,0
